GRID_ID,GRTS_No,STATE,stabb,Albers_X,Albers_Y,Latitude,Longitude,Sample,Surveyed2017,Surveyed2022,SiteType2017,SiteType2022,Grouping1,Grouping2,propBurned2016_2021,propBurned2001_2021,propBurned2001_2015,meanHumanMod_2021,propCopelandInman,ClusterCount,meanNDVI_2022,meanNDVI_2017,meanMayDepth_2022,SDMayDepth_2022,meanMaySWE_2022,SDMaySWE_2022
6262,UT Site-43,Utah,UT,-1460000,1740000,37.5,-112.8,No,No,No,,,Uintas,Zeroes,0.007992,0.013808,0.005816,0.056957003,0.930148279,6,48.75672222,48.31853175,426.8772727,454.2579671,170.3371212,183.2936245
6884,UT Site-11,Utah,UT,-1420000,1810000,38.2,-112.4,Yes,No,Yes,,Lure,Uintas,Zeroes,0.012564101,0.023284186,0.010720086,0.03510067,0.615989536,6,40.47566667,40.51257937,374.5049057,341.569815,143.1479245,130.9406846
6764,UT Site-27,Utah,UT,-1360000,1780000,38.1,-111.7,No,No,No,,,Uintas,Zeroes,0.002291991,0.03246387,0.030171879,0.022503535,0.804644,3,45.44986111,46.22130952,364.7977358,341.9463302,139.3132075,128.8253384
6765,UT Site-15,Utah,UT,-1350000,1780000,38.1,-111.6,Yes,No,Yes,,Lure,Uintas,Zeroes,0.000479996,0.004167967,0.00368797,0.011390541,0.878543028,3,49.76575,50.8143254,677.9242424,495.2027346,276.5462121,221.2290406
6766,UT Site-31,Utah,UT,-1330000,1780000,38.1,-111.4,No,No,No,,,Uintas,Zeroes,0.000600002,0.023984096,0.023384094,0.015041387,0.610588,3,47.8929147,48.95201048,429.9323194,326.6907508,176.7239544,142.6412521
7008,UT Site-39,Utah,UT,-1410000,1820000,38.3,-112.4,No,No,No,,,Uintas,Zeroes,0.077448,0.167472,0.090024,0.031338296,0.944835779,6,43.40008333,43.95416667,652.0980989,501.4032048,249.5695817,198.9590239
7134,UT Site-23,Utah,UT,-1380000,1830000,38.5,-112.1,No,No,No,,,Uintas,Zeroes,0.14092,0.20204,0.06112,0.040355109,0.509326037,6,42.43703807,43.56984083,253.7363636,292.8694608,84.97272727,98.8566844
7384,UT Site-44,Utah,UT,-1350000,1860000,38.7,-111.7,No,No,No,,,Uintas,Zeroes,0.030312,0.106204,0.075892,0.027418041,0.537169851,6,59.71013889,61.24821429,507.5718631,292.7568996,187.5619772,96.77607269
7260,UT Site-07,Utah,UT,-1350000,1840000,38.6,-111.7,Yes,No,Yes,,Lure,Uintas,Zeroes,0.013596,0.0595,0.045904,0.020920082,0.733870129,6,59.80483333,60.68904762,655.1708812,398.9804372,240.6750958,139.4195447
7882,UT Site-32,Utah,UT,-1310000,1910000,39.3,-111.4,No,No,No,,,Uintas,Zeroes,0.002656,0.012952,0.010296,0.054151864,0.558178233,13,50.10802778,50.74757937,432.7433962,354.2073684,154.9826415,118.9930284
8131,UT Site-04,Utah,UT,-1290000,1940000,39.5,-111.2,Yes,No,Yes,,Bait_Lure,Uintas,Zeroes,0.004231983,0.411698353,0.40746637,0.040566059,0.608812,13,59.54636111,59.64920635,683.8754717,527.1425672,259.7154717,190.7401032
8130,UT Site-40,Utah,UT,-1300000,1940000,39.5,-111.3,No,No,No,,,Uintas,Zeroes,0.005923976,0.029243883,0.023319907,0.150283018,0.562759498,13,55.20063889,56.09753968,587.6874525,337.6754295,225.5269962,127.9266434
8006,UT Site-24,Utah,UT,-1300000,1930000,39.4,-111.3,No,No,No,,,Uintas,Zeroes,0.035716286,0.056492452,0.020776166,0.036425827,0.83338,13,55.70911111,56.59099206,914.3011321,519.1738539,349.5584906,195.782231
7633,UT Site-48,Utah,UT,-1330000,1890000,39,-111.5,No,No,No,,,Uintas,Zeroes,0.031640253,0.074560596,0.042920343,0.013429715,0.541532,2,58.45575,59.74444444,457.5772727,333.5214371,167.2454545,113.214525
7757,UT Site-16,Utah,UT,-1320000,1900000,39.1,-111.5,No,No,No,,,Uintas,Zeroes,0.019631921,0.119375522,0.099743601,0.036123257,0.74644,2,58.72941667,59.87734127,611.5720755,412.948183,229.7456604,145.3744096
9120,UT Site-35,Utah,UT,-1310000,2060000,40.6,-111.7,No,No,No,,,Uintas,Zeroes,0.002852,0.00844,0.005588,0.192120256,0.93208,2,57.79944444,57.75587302,1215.198485,439.3002044,486.3113636,181.7187594
8523,CO Site-061,Colorado,CO,-980000,1930000,39.8,-107.6,No,No,No,,,SouthernRockies,Zeroes,0.004996,0.020732,0.015736,0.015389667,0.703169625,9,65.75988889,67.17603175,518.4053232,257.3811428,183.9893536,98.66941293
8524,CO Site-002,Colorado,CO,-970000,1930000,39.8,-107.4,Yes,No,Yes,,Lure,SouthernRockies,Zeroes,0.01634,0.016744,0.000404,0.005149744,0.982083928,9,63.35880556,64.89420635,1342.295849,387.7072327,514.7116981,118.350976
8525,CO Site-093,Colorado,CO,-950000,1920000,39.8,-107.3,No,No,No,,,SouthernRockies,Zeroes,0.000292,0.004012,0.00372,0.020894795,0.907596,9,64.73022222,66.09678571,1375.209091,389.5107718,536.7098485,111.1129038
8530,CO Site-026,Colorado,CO,-880000,1910000,39.8,-106.4,Yes,No,Yes,,Lure,SouthernRockies,Zeroes,0,0,0,0.009516095,0.92028,23,54.08636111,54.8559127,1034.381679,376.6770886,370.6160305,165.5391518
8532,CO Site-001,Colorado,CO,-850000,1900000,39.8,-106,Yes,No,Yes,,Lure,SouthernRockies,Zeroes,0.068484,0.068484,0,0.050719735,0.868539474,23,53.70663889,54.27031746,851.1018868,254.8465143,288.9169811,81.11036985
8533,CO Site-105,Colorado,CO,-840000,1900000,39.7,-105.9,No,No,No,,,SouthernRockies,Zeroes,0.015332061,0.015332061,0,0.134544407,0.991959968,23,48.23230556,49.2427381,1128.872243,250.6988562,373.843346,79.9514155
8648,CO Site-106,Colorado,CO,-970000,1940000,40,-107.4,No,No,No,,,SouthernRockies,Zeroes,0.020348081,0.020916084,0.000568002,0.003505682,0.89382,9,60.76472222,61.79527778,1223.341887,351.8694626,461.3101887,104.8359691
8649,CO Site-098,Colorado,CO,-950000,1940000,39.9,-107.3,No,No,No,,,SouthernRockies,Zeroes,0.000204,0.1805,0.180296,0.003925487,1,9,63.81480556,65.66412698,1431.269202,378.9253548,540.5528517,122.0273869
8650,CO Site-114,Colorado,CO,-940000,1940000,39.9,-107.1,No,No,No,,,SouthernRockies,Zeroes,0.000871997,0.000871997,0,0.009055294,0.682437459,9,61.03574007,62.51707859,922.5954373,248.141851,342.7254753,97.75656524
8656,CO Site-097,Colorado,CO,-850000,1920000,39.9,-106,No,No,No,,,SouthernRockies,Zeroes,0.149992,0.159536,0.009544,0.042258538,0.824292,23,52.71794444,53.26083333,714.2439394,198.067243,239.5477273,53.59876677
8657,CO Site-017,Colorado,CO,-830000,1920000,39.9,-105.8,Yes,No,Yes,,Lure,SouthernRockies,Zeroes,0,0.001328005,0.001328005,0.143241158,0.830927324,23,46.07486111,45.86238095,831.9962121,158.0664051,285.6901515,49.52456044
8658,CO Site-033,Colorado,CO,-820000,1910000,39.9,-105.7,Yes,No,Yes,,Lure,SouthernRockies,Zeroes,0,0.000516002,0.000516002,0.151753188,0.863860545,23,45.30019444,45.46678571,901.1166667,110.6053888,297.6901515,64.48027019
8772,CO Site-018,Colorado,CO,-960000,1960000,40.1,-107.4,Yes,No,Yes,,Lure,SouthernRockies,Zeroes,0,0.00294,0.00294,0.013287096,0.7305,9,67.17341667,67.94702381,503.029771,213.1040707,174.7152672,66.53438479
8773,CO Site-034,Colorado,CO,-950000,1950000,40.1,-107.2,Yes,No,Yes,,Lure,SouthernRockies,Zeroes,0.003484014,0.109636439,0.106152425,0.008388285,0.98812,9,64.71622222,65.55111111,1311.484528,332.8521383,503.5788679,113.1416736
8774,CO Site-042,Colorado,CO,-930000,1950000,40.1,-107.1,Yes,No,Yes,,Lure,SouthernRockies,Zeroes,0.001824,0.01488,0.013056,0.017011295,0.828828,9,61.13677778,62.44150794,1258.413585,346.7626248,483.629434,150.4901246
8782,CO Site-081,Colorado,CO,-820000,1930000,40,-105.7,No,No,No,,,SouthernRockies,Zeroes,0,0.000463998,0.000463998,0.071065665,0.964744141,23,47.48147222,47.82805556,1123.475,192.5594883,387.1037879,97.08820494
8627,UT Site-20,Utah,UT,-1280000,2000000,40.1,-111.2,No,No,No,,,Uintas,Zeroes,0.057256229,0.14256857,0.085312341,0.093811813,0.600876,13,72.82783333,73.18809524,395.6360153,377.7766242,141.7287356,129.2561893
8254,UT Site-28,Utah,UT,-1300000,1960000,39.7,-111.3,No,No,No,,,Uintas,Zeroes,0.00648,0.09968,0.0932,0.131473248,0.774476902,13,60.42575,61.26170635,523.0575758,413.0850404,201.694697,155.2911373
8255,UT Site-47,Utah,UT,-1280000,1950000,39.7,-111.2,No,No,No,,,Uintas,Zeroes,0.002143991,0.099399602,0.097255611,0.072205077,0.50346,13,61.32172222,62.2756746,676.3840909,546.8859547,261.8628788,202.3649117
8378,UT Site-12,Utah,UT,-1300000,1970000,39.8,-111.3,Yes,No,Yes,,Bait_Lure,Uintas,Zeroes,0.06412,0.10532,0.0412,0.049715292,0.692852,13,61.12296584,62.03812433,431.4515152,445.7802823,158.0825758,162.6775499
9124,UT Site-10,Utah,UT,-1250000,2050000,40.6,-111,Yes,No,Yes,,Lure,Uintas,Zeroes,0.049200197,0.067368269,0.018168073,0.065800848,0.948136415,22,52.09008333,52.36333333,1134.98566,657.6756419,424.6369811,233.234821
9125,UT Site-25,Utah,UT,-1240000,2050000,40.6,-110.8,No,No,No,,,Uintas,Zeroes,0.129019484,0.129019484,0,0.012939736,0.989092,22,48.86961111,48.99888889,1135.5673,611.7948621,425.4768061,218.7502083
9126,UT Site-09,Utah,UT,-1220000,2050000,40.6,-110.6,Yes,No,Yes,,Bait_Lure,Uintas,Zeroes,0.391797567,0.395589582,0.003792015,0.005451416,0.969284,22,42.45475,42.35472222,942.9090909,494.2554083,348.4378788,171.5603481
9127,UT Site-01,Utah,UT,-1210000,2050000,40.6,-110.4,Yes,No,Yes,,Bait_Lure,Uintas,Zeroes,0.188316,0.22054,0.032224,0.026466403,0.878239513,22,42.06208333,42.03071429,602.4363636,353.81652,206.9484848,114.1951997
9128,UT Site-33,Utah,UT,-1190000,2040000,40.6,-110.2,No,No,No,,,Uintas,Zeroes,0.000212001,0.038864155,0.038652155,0.022695592,0.621692,22,40.14541667,40.53650794,462.6090909,247.471476,156.3939394,79.40261368
9148,CO Site-118,Colorado,CO,-900000,1990000,40.5,-106.7,No,No,No,,,SouthernRockies,Zeroes,0.004756019,0.004776019,2.00E-05,0.032172835,0.948124208,14,66.50786111,67.19162698,1599.296604,354.9035223,659.0928302,144.9012122
9152,CO Site-013,Colorado,CO,-840000,1980000,40.4,-106,Yes,No,Yes,,Lure,SouthernRockies,Zeroes,0.010808,0.01182,0.001012,0.008648348,0.997947992,23,48.11544444,49.02460317,1164.653788,286.3943733,432.6045455,88.10018751
9153,CO Site-117,Colorado,CO,-820000,1980000,40.4,-105.8,No,No,No,,,SouthernRockies,Zeroes,0.008864035,0.008864035,0,0.039731425,0.99745601,23,51.51805556,52.62595238,1214.351515,205.8164611,440.0477273,103.4216416
9277,CO Site-077,Colorado,CO,-820000,1990000,40.5,-105.8,No,No,No,,,SouthernRockies,Zeroes,0.253836,0.253836,0,0.017312797,0.994647957,23,51.198,51.18833333,1326.923194,213.058218,483.1338403,41.60460438
9278,CO Site-113,Colorado,CO,-810000,1990000,40.5,-105.6,No,No,No,,,SouthernRockies,Zeroes,0.228943084,0.244415022,0.015471938,0.016693318,0.803748,23,35.53172222,35.67452381,968.4837736,250.7457435,313.6483019,83.21166136
9395,CO Site-062,Colorado,CO,-910000,2020000,40.7,-106.8,No,No,No,,,SouthernRockies,Zeroes,0.09119673,0.186925495,0.095728766,0.047556095,0.59370725,14,66.83875,67.16115079,797.1909434,316.1248744,311.5577358,121.1529768
