GRID_ID,occ,eh,GRTS_No,STATE,stabb,Albers_X,Albers_Y,Latitude,Longitude,Sample,Surveyed2017,Surveyed2022,SiteType2017,SiteType2022,Grouping1,Grouping2,propCopeland,propCopelandInman,meanHumanMod_2021,meanNDVI_2017,ClusterCount
10737,1,0,Id-163,Wyoming,WY,-1200000,2240000,42.3,-110.7,Yes,Yes,Yes,Bait,Bait,NorthernRockies,NorthernRockies,0.833087757,0.969151877,0.003799127,55.99146825,18
10737,2,0,Id-163,Wyoming,WY,-1200000,2240000,42.3,-110.7,Yes,Yes,Yes,Bait,Bait,NorthernRockies,NorthernRockies,0.833087757,0.969151877,0.003799127,55.99146825,18
10737,3,0,Id-163,Wyoming,WY,-1200000,2240000,42.3,-110.7,Yes,Yes,Yes,Bait,Bait,NorthernRockies,NorthernRockies,0.833087757,0.969151877,0.003799127,55.99146825,18
10737,4,0,Id-163,Wyoming,WY,-1200000,2240000,42.3,-110.7,Yes,Yes,Yes,Bait,Bait,NorthernRockies,NorthernRockies,0.833087757,0.969151877,0.003799127,55.99146825,18
11110,1,0,Id-099,Wyoming,WY,-1180000,2280000,42.7,-110.5,Yes,Yes,Yes,Bait,Bait,NorthernRockies,NorthernRockies,0.623942616,0.702253191,0.008571537,54.70400794,18
11110,2,0,Id-099,Wyoming,WY,-1180000,2280000,42.7,-110.5,Yes,Yes,Yes,Bait,Bait,NorthernRockies,NorthernRockies,0.623942616,0.702253191,0.008571537,54.70400794,18
11110,3,0,Id-099,Wyoming,WY,-1180000,2280000,42.7,-110.5,Yes,Yes,Yes,Bait,Bait,NorthernRockies,NorthernRockies,0.623942616,0.702253191,0.008571537,54.70400794,18
11110,4,0,Id-099,Wyoming,WY,-1180000,2280000,42.7,-110.5,Yes,Yes,Yes,Bait,Bait,NorthernRockies,NorthernRockies,0.623942616,0.702253191,0.008571537,54.70400794,18
11116,1,0,Id-051,Wyoming,WY,-1090000,2270000,42.7,-109.4,Yes,Yes,Yes,Bait,Bait,NorthernRockies,NorthernRockies,0.48481688,0.612357551,0.017294873,48.0518398,40
11116,2,0,Id-051,Wyoming,WY,-1090000,2270000,42.7,-109.4,Yes,Yes,Yes,Bait,Bait,NorthernRockies,NorthernRockies,0.48481688,0.612357551,0.017294873,48.0518398,40
