GRID_ID,occ,eh,GRTS_No,STATE,stabb,Albers_X,Albers_Y,Latitude,Longitude,Sample,Surveyed2017,Surveyed2022,SiteType2017,SiteType2022,Grouping1,Grouping2,propBurned2016_2021,propBurned2001_2021,propBurned2001_2015,meanHumanMod_2021,propCopelandInman,ClusterCount,meanNDVI_2022,meanNDVI_2017,meanMayDepth_2022,SDMayDepth_2022,meanMaySWE_2022,SDMaySWE_2022
6765,1,0,UT Site-15,Utah,UT,-1350000,1780000,38.1,-111.6,Yes,No,Yes,,Lure,Uintas,Zeroes,0.000479996,0.004167967,0.00368797,0.011390541,0.878543028,3,49.76575,50.8143254,677.9242424,495.2027346,276.5462121,221.2290406
6765,2,0,UT Site-15,Utah,UT,-1350000,1780000,38.1,-111.6,Yes,No,Yes,,Lure,Uintas,Zeroes,0.000479996,0.004167967,0.00368797,0.011390541,0.878543028,3,49.76575,50.8143254,677.9242424,495.2027346,276.5462121,221.2290406
6765,3,0,UT Site-15,Utah,UT,-1350000,1780000,38.1,-111.6,Yes,No,Yes,,Lure,Uintas,Zeroes,0.000479996,0.004167967,0.00368797,0.011390541,0.878543028,3,49.76575,50.8143254,677.9242424,495.2027346,276.5462121,221.2290406
6765,4,0,UT Site-15,Utah,UT,-1350000,1780000,38.1,-111.6,Yes,No,Yes,,Lure,Uintas,Zeroes,0.000479996,0.004167967,0.00368797,0.011390541,0.878543028,3,49.76575,50.8143254,677.9242424,495.2027346,276.5462121,221.2290406
6884,1,0,UT Site-11,Utah,UT,-1420000,1810000,38.2,-112.4,Yes,No,Yes,,Lure,Uintas,Zeroes,0.012564101,0.023284186,0.010720086,0.03510067,0.615989536,6,40.47566667,40.51257937,374.5049057,341.569815,143.1479245,130.9406846
6884,2,0,UT Site-11,Utah,UT,-1420000,1810000,38.2,-112.4,Yes,No,Yes,,Lure,Uintas,Zeroes,0.012564101,0.023284186,0.010720086,0.03510067,0.615989536,6,40.47566667,40.51257937,374.5049057,341.569815,143.1479245,130.9406846
6884,3,0,UT Site-11,Utah,UT,-1420000,1810000,38.2,-112.4,Yes,No,Yes,,Lure,Uintas,Zeroes,0.012564101,0.023284186,0.010720086,0.03510067,0.615989536,6,40.47566667,40.51257937,374.5049057,341.569815,143.1479245,130.9406846
6884,4,0,UT Site-11,Utah,UT,-1420000,1810000,38.2,-112.4,Yes,No,Yes,,Lure,Uintas,Zeroes,0.012564101,0.023284186,0.010720086,0.03510067,0.615989536,6,40.47566667,40.51257937,374.5049057,341.569815,143.1479245,130.9406846
7260,1,0,UT Site-07,Utah,UT,-1350000,1840000,38.6,-111.7,Yes,No,Yes,,Lure,Uintas,Zeroes,0.013596,0.0595,0.045904,0.020920082,0.733870129,6,59.80483333,60.68904762,655.1708812,398.9804372,240.6750958,139.4195447
7260,2,0,UT Site-07,Utah,UT,-1350000,1840000,38.6,-111.7,Yes,No,Yes,,Lure,Uintas,Zeroes,0.013596,0.0595,0.045904,0.020920082,0.733870129,6,59.80483333,60.68904762,655.1708812,398.9804372,240.6750958,139.4195447
7260,3,0,UT Site-07,Utah,UT,-1350000,1840000,38.6,-111.7,Yes,No,Yes,,Lure,Uintas,Zeroes,0.013596,0.0595,0.045904,0.020920082,0.733870129,6,59.80483333,60.68904762,655.1708812,398.9804372,240.6750958,139.4195447
7260,4,0,UT Site-07,Utah,UT,-1350000,1840000,38.6,-111.7,Yes,No,Yes,,Lure,Uintas,Zeroes,0.013596,0.0595,0.045904,0.020920082,0.733870129,6,59.80483333,60.68904762,655.1708812,398.9804372,240.6750958,139.4195447
8131,1,0,UT Site-04,Utah,UT,-1290000,1940000,39.5,-111.2,Yes,No,Yes,,Bait_Lure,Uintas,Zeroes,0.004231983,0.411698353,0.40746637,0.040566059,0.608812,13,59.54636111,59.64920635,683.8754717,527.1425672,259.7154717,190.7401032
8131,2,0,UT Site-04,Utah,UT,-1290000,1940000,39.5,-111.2,Yes,No,Yes,,Bait_Lure,Uintas,Zeroes,0.004231983,0.411698353,0.40746637,0.040566059,0.608812,13,59.54636111,59.64920635,683.8754717,527.1425672,259.7154717,190.7401032
8131,3,0,UT Site-04,Utah,UT,-1290000,1940000,39.5,-111.2,Yes,No,Yes,,Bait_Lure,Uintas,Zeroes,0.004231983,0.411698353,0.40746637,0.040566059,0.608812,13,59.54636111,59.64920635,683.8754717,527.1425672,259.7154717,190.7401032
